"","state","location","both_sexes_2012"
"1","Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",19.5
"2","Colorado","Alamosa County",16.9
"3","Colorado","Arapahoe County",20.6
"4","Colorado","Archuleta County",21.4
"5","Colorado","Baca County",15.9
"6","Colorado","Bent County",19
"7","Colorado","Chaffee County",20.2
"8","Colorado","Cheyenne County",22.1
"9","Colorado","Clear Creek County",26.1
"10","Colorado","Colorado",20.2
"11","Colorado","Conejos County",14.2
"12","Colorado","Costilla County",17.6
"13","Colorado","Crowley County",18
"14","Colorado","Custer County",20.1
"15","Colorado","Delta County",21.2
"16","Colorado","Denver County",25
"17","Colorado","Dolores County",22.7
"18","Colorado","Douglas County",17.6
"19","Colorado","Eagle County",23.9
"20","Colorado","El Paso County",15.9
"21","Colorado","Elbert County",17.6
"22","Colorado","Fremont County",17.8
"23","Colorado","Garfield County",24.2
"24","Colorado","Gilpin County",23.6
"25","Colorado","Grand County",25.2
"26","Colorado","Gunnison County",26.7
"27","Colorado","Hinsdale County",31.9
"28","Colorado","Huerfano County",23.5
"29","Colorado","Jackson County",27.4
"30","Colorado","Kiowa County",9.2
"31","Colorado","Kit Carson County",17.4
"32","Colorado","La Plata County",24.1
"33","Colorado","Lake County",25.4
"34","Colorado","Larimer County",19.4
"35","Colorado","Las Animas County",19.5
"36","Colorado","Lincoln County",16.5
"37","Colorado","Logan County",19
"38","Colorado","Mesa County",19.4
"39","Colorado","Mineral County",18.5
"40","Colorado","Moffat County",22
"41","Colorado","Montezuma County",19.9
"42","Colorado","Montrose County",20.7
"43","Colorado","Morgan County",17.9
"44","Colorado","Otero County",19.4
"45","Colorado","Ouray County",25.5
"46","Colorado","Park County",22.7
"47","Colorado","Phillips County",15.6
"48","Colorado","Pitkin County",26.5
"49","Colorado","Prowers County",18.1
"50","Colorado","Pueblo County",18.7
"51","Colorado","Rio Blanco County",21.8
"52","Colorado","Rio Grande County",19.9
"53","Colorado","Routt County",24.4
"54","Colorado","Saguache County",18.9
"55","Colorado","San Juan County",31.3
"56","Colorado","San Miguel County",29.1
"57","Colorado","Sedgwick County",17.7
"58","Colorado","Summit County",28.7
"59","Colorado","Teller County",21.2
"60","Colorado","Washington County",17.8
"61","Colorado","Yuma County",19.9
